Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Fixed,Explanation
BackEnd,ca.dal.Maverick.board.controller,BoardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,"The controller is there to receive API calls, which is not evident by looking at just the BackEnd code"
BackEnd,ca.dal.Maverick.config,AuthenticationFilter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,This class is used for authentication
BackEnd,ca.dal.Maverick.config,HttpConfigurer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,This class is used for authentication
BackEnd,ca.dal.Maverick.config,SecurityConfiguration,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,This class is used for authentication
BackEnd,ca.dal.Maverick,MaverickApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,This is the default class used for running the application
BackEnd,ca.dal.Maverick.notifications,EmailController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,"The controller is there to receive API calls, which is not evident by looking at just the BackEnd code"
BackEnd,ca.dal.Maverick.tasks.controller,TasksController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,"The controller is there to receive API calls, which is not evident by looking at just the BackEnd code"
BackEnd,ca.dal.Maverick.user.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,"The controller is there to receive API calls, which is not evident by looking at just the BackEnd code"
BackEnd,ca.dal.Maverick.user.service,UserService,Feature Envy,The tool detected a instance of this smell because getUserId is more interested in members of the type: TokenService,Yes,getUserID method and corresponding API controller moved to token module
BackEnd,ca.dal.Maverick.workspace.controller,WorkSpaceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),No,"The controller is there to receive API calls, which is not evident by looking at just the BackEnd code"
