Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
BackEnd,ca.dal.Maverick,MaverickApplicationTests,contextLoads,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BackEnd,ca.dal.Maverick,MaverickApplicationTests,contextLoads,Empty test,The tool detected the smell in this test method because the test is empty.
BackEnd,ca.dal.Maverick.user.service,UserServiceTest,authenticateTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BackEnd,ca.dal.Maverick.user.service,UserServiceTest,authenticateTest,Empty test,The tool detected the smell in this test method because the test is empty.
BackEnd,ca.dal.Maverick.board,BoardServiceTest,testUpdateBothNameAndDescriptionBoard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BackEnd,ca.dal.Maverick.board,BoardServiceTest,testUpdateBothNameAndDescriptionBoard,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: ca.dal.Maverick.board.service.BoardService.updateBoard; ca.dal.Maverick.board.model.BoardModel.getBoard_name; ca.dal.Maverick.board.model.BoardModel.getDescription
BackEnd,ca.dal.Maverick.board,BoardServiceTest,testUpdateNameBoard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BackEnd,ca.dal.Maverick.board,BoardServiceTest,testUpdateNameBoard,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: ca.dal.Maverick.board.model.BoardRequestModel.setBoard_name; ca.dal.Maverick.board.service.BoardService.updateBoard; ca.dal.Maverick.board.model.BoardModel.getBoard_name; ca.dal.Maverick.board.model.BoardModel.getDescription
BackEnd,ca.dal.Maverick.board,BoardServiceTest,testUpdateDescriptionBoard,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BackEnd,ca.dal.Maverick.board,BoardServiceTest,testUpdateDescriptionBoard,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: ca.dal.Maverick.board.model.BoardRequestModel.setDescription; ca.dal.Maverick.board.service.BoardService.updateBoard; ca.dal.Maverick.board.model.BoardModel.getBoard_name; ca.dal.Maverick.board.model.BoardModel.getDescription
BackEnd,ca.dal.Maverick.token,tokenTest,getAuthenticationTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
BackEnd,ca.dal.Maverick.workspace,WorkSpaceServiceTest,testAddUsers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
BackEnd,ca.dal.Maverick.workspace,WorkSpaceServiceTest,testAddUsers,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: ca.dal.Maverick.workspace.model.WorkSpaceModel.create; ca.dal.Maverick.workspace.service.WorkSpaceService.addUsers
